date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-04-01,00:48:18,303,250297.03,21.47,0.0,1983,21301.06,1.78,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:48:20,304,249407.89,21.39,0.0,1968,21615.85,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:48:22,299,253913.03,21.78,0.0,1981,21342.76,1.78,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:48:24,316,239177.2,20.51,0.0,2009,20766.55,1.73,0.46,166,473373.5,43.03,0.0,0
2026-04-01,00:48:26,317,238359.63,20.44,0.0,1967,21637.01,1.8,0.42,158,498354.41,45.3,0.0,0
2026-04-01,00:48:28,304,249407.89,21.39,0.0,1981,21342.76,1.78,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:48:30,301,252093.03,21.62,0.0,1985,21259.45,1.77,0.44,154,511818.19,46.53,0.0,0
2026-04-01,00:48:32,310,244193.55,20.94,0.0,2002,20909.09,1.74,0.45,160,491874.97,44.72,0.0,0
2026-04-01,00:48:34,298,254832.22,21.86,0.0,1963,21721.85,1.81,0.42,151,522384.09,47.49,0.0,0
2026-04-01,00:48:36,304,249407.89,21.39,0.0,2003,20888.67,1.74,0.46,159,495094.34,45.01,0.0,0
2026-04-01,00:48:38,303,250297.03,21.47,0.0,1977,21426.4,1.79,0.43,154,511818.19,46.53,0.0,0
2026-04-01,00:48:40,309,245048.53,21.02,0.0,2004,20868.26,1.74,0.46,160,491874.97,44.72,0.0,0
2026-04-01,00:48:42,302,251192.05,21.54,0.0,1973,21510.39,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:48:44,306,247647.06,21.24,0.0,2001,20929.54,1.74,0.45,163,482453.97,43.86,0.0,0
2026-04-01,00:48:46,308,245909.09,21.09,0.0,1984,21280.24,1.77,0.44,150,526000.0,47.82,0.0,0
2026-04-01,00:48:48,298,254832.22,21.86,0.0,1966,21658.19,1.8,0.42,155,508387.09,46.22,0.0,0
2026-04-01,00:48:50,295,257627.13,22.09,0.0,1975,21468.35,1.79,0.43,156,505000.0,45.91,0.0,0
2026-04-01,00:48:52,304,249407.89,21.39,0.0,1974,21489.36,1.79,0.43,145,544827.56,49.53,0.0,0
2026-04-01,00:48:54,290,262413.78,22.51,0.0,1979,21384.54,1.78,0.43,149,529664.44,48.15,0.0,0
2026-04-01,00:48:56,305,248524.59,21.31,0.0,1968,21615.85,1.8,0.42,153,515294.13,46.84,0.0,0
2026-04-01,00:48:58,304,249407.89,21.39,0.0,1994,21073.22,1.76,0.45,157,501656.06,45.61,0.0,0
2026-04-01,00:49:00,299,253913.03,21.78,0.0,1993,21093.83,1.76,0.45,158,498354.41,45.3,0.0,0
2026-04-01,00:49:02,304,249407.89,21.39,0.0,2002,20909.09,1.74,0.45,157,501656.06,45.61,0.0,0
2026-04-01,00:49:04,299,253913.03,21.78,0.0,1970,21573.61,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:49:06,313,241661.34,20.73,0.0,2007,20807.18,1.73,0.46,163,482453.97,43.86,0.0,0
2026-04-01,00:49:08,304,249407.89,21.39,0.0,1983,21301.06,1.78,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:49:10,306,247647.06,21.24,0.0,1991,21135.11,1.76,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:49:12,306,247647.06,21.24,0.0,1981,21342.76,1.78,0.43,151,522384.09,47.49,0.0,0
2026-04-01,00:49:14,307,246775.23,21.16,0.0,1990,21155.78,1.76,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:49:16,300,253000.0,21.7,0.0,1991,21135.11,1.76,0.44,155,508387.09,46.22,0.0,0
2026-04-01,00:49:18,304,249407.89,21.39,0.0,1995,21052.63,1.75,0.45,156,505000.0,45.91,0.0,0
2026-04-01,00:49:20,302,251192.05,21.54,0.0,1969,21594.72,1.8,0.42,159,495094.34,45.01,0.0,0
2026-04-01,00:49:22,304,249407.89,21.39,0.0,1984,21280.24,1.77,0.44,153,515294.13,46.84,0.0,0
2026-04-01,00:49:24,295,257627.13,22.09,0.0,1967,21637.01,1.8,0.42,155,508387.09,46.22,0.0,0
2026-04-01,00:49:26,308,245909.09,21.09,0.0,1967,21637.01,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:49:28,304,249407.89,21.39,0.0,1991,21135.11,1.76,0.44,161,488695.66,44.43,0.0,0
2026-04-01,00:49:30,304,249407.89,21.39,0.0,1988,21197.18,1.77,0.44,150,526000.0,47.82,0.0,0
2026-04-01,00:49:32,306,247647.06,21.24,0.0,1995,21052.63,1.75,0.45,162,485555.56,44.14,0.0,0
2026-04-01,00:49:34,304,249407.89,21.39,0.0,1968,21615.85,1.8,0.42,150,526000.0,47.82,0.0,0
2026-04-01,00:49:36,310,244193.55,20.94,0.0,2000,20950.0,1.75,0.45,159,495094.34,45.01,0.0,0
2026-04-01,00:49:38,303,250297.03,21.47,0.0,1984,21280.24,1.77,0.44,154,511818.19,46.53,0.0,0
2026-04-01,00:49:40,304,249407.89,21.39,0.0,2015,20645.16,1.72,0.47,158,498354.41,45.3,0.0,0
2026-04-01,00:49:42,305,248524.59,21.31,0.0,1985,21259.45,1.77,0.44,158,498354.41,45.3,0.0,0
2026-04-01,00:49:44,301,252093.03,21.62,0.0,1997,21011.52,1.75,0.45,153,515294.13,46.84,0.0,0
2026-04-01,00:49:46,304,249407.89,21.39,0.0,1967,21637.01,1.8,0.42,157,501656.06,45.61,0.0,0
2026-04-01,00:49:48,298,254832.22,21.86,0.0,2005,20847.88,1.74,0.46,161,488695.66,44.43,0.0,0
2026-04-01,00:49:50,301,252093.03,21.62,0.0,1982,21321.9,1.78,0.44,149,529664.44,48.15,0.0,0
2026-04-01,00:49:52,301,252093.03,21.62,0.0,1989,21176.47,1.76,0.44,157,501656.06,45.61,0.0,0
2026-04-01,00:49:54,298,254832.22,21.86,0.0,1968,21615.85,1.8,0.42,157,501656.06,45.61,0.0,0
2026-04-01,00:49:56,306,247647.06,21.24,0.0,1981,21342.76,1.78,0.43,150,526000.0,47.82,0.0,0
2026-04-01,00:49:58,307,246775.23,21.16,0.0,1979,21384.54,1.78,0.43,152,518815.78,47.17,0.0,0
2026-04-01,00:50:00,294,258571.42,22.18,0.0,1982,21321.9,1.78,0.44,148,533378.37,48.49,0.0,0
2026-04-01,00:50:02,300,253000.0,21.7,0.0,1985,21259.45,1.77,0.44,158,498354.41,45.3,0.0,0
2026-04-01,00:50:04,305,248524.59,21.31,0.0,1968,21615.85,1.8,0.42,151,522384.09,47.49,0.0,0
2026-04-01,00:50:06,301,252093.03,21.62,0.0,2005,20847.88,1.74,0.46,156,505000.0,45.91,0.0,0
2026-04-01,00:50:08,294,258571.42,22.18,0.0,1982,21321.9,1.78,0.44,151,522384.09,47.49,0.0,0
2026-04-01,00:50:10,295,257627.13,22.09,0.0,2000,20950.0,1.75,0.45,157,501656.06,45.61,0.0,0
2026-04-01,00:50:12,295,257627.13,22.09,0.0,1965,21679.39,1.81,0.42,149,529664.44,48.15,0.0,0
2026-04-01,00:50:14,310,244193.55,20.94,0.0,1988,21197.18,1.77,0.44,160,491874.97,44.72,0.0,0
2026-04-01,00:50:16,304,249407.89,21.39,0.0,1974,21489.36,1.79,0.43,149,529664.44,48.15,0.0,0
2026-04-01,00:50:18,305,248524.59,21.31,0.0,2005,20847.88,1.74,0.46,157,501656.06,45.61,0.0,0
2026-04-01,00:50:20,305,248524.59,21.31,0.0,1980,21363.63,1.78,0.43,151,522384.09,47.49,0.0,0
2026-04-01,00:50:22,309,245048.53,21.02,0.0,1986,21238.67,1.77,0.44,158,498354.41,45.3,0.0,0
2026-04-01,00:50:24,300,253000.0,21.7,0.0,1978,21405.46,1.78,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:50:26,304,249407.89,21.39,0.0,1974,21489.36,1.79,0.43,131,605190.81,55.02,0.0,0
2026-04-01,00:50:28,294,258571.42,22.18,0.0,1967,21637.01,1.8,0.42,154,511818.19,46.53,0.0,0
2026-04-01,00:50:30,304,249407.89,21.39,0.0,1973,21510.39,1.79,0.43,157,501656.06,45.61,0.0,0
2026-04-01,00:50:32,304,249407.89,21.39,0.0,1977,21426.4,1.79,0.43,158,498354.41,45.3,0.0,0
2026-04-01,00:50:34,304,249407.89,21.39,0.0,1976,21447.37,1.79,0.43,155,508387.09,46.22,0.0,0
2026-04-01,00:50:36,304,249407.89,21.39,0.0,2000,20950.0,1.75,0.45,155,508387.09,46.22,0.0,0
2026-04-01,00:50:38,289,263391.0,22.59,0.0,1978,21405.46,1.78,0.43,151,522384.09,47.49,0.0,0
